text1,text2,label
"what is the job scheduling policy on Frontier? 
","To override this default layout (not recommended), set -S 0 at job allocation.



Frontier uses SchedMD's Slurm Workload Manager for scheduling and managing jobs. Slurm maintains similar functionality to other schedulers such as IBM's LSF, but provides unique control of Frontier's resources through custom commands and options specific to Slurm. A few important commands can be found in the conversion table below, but please visit SchedMD's Rosetta Stone of Workload Managers for a more complete conversion reference.",4.226095209900119
"what is the job scheduling policy on Frontier? 
","Users may have only 100 jobs queued in the batch queue at any time (this includes jobs in all states). Additional jobs will be rejected at submit time.

The debug quality of service (QOS) class can be used to access Frontier's compute resources for short non-production debug tasks. The QOS provides a higher priority compare to jobs of the same job size bin in production queues. Production work and job chaining using the debug QOS is prohibited. Each user is limited to one job in any state at any one point. Attempts to submit multiple jobs to this QOS will be rejected upon job submission.",4.225448931944388
"What is the file system on Frontier? 
","For more detailed information about center-wide file systems and data archiving available on Frontier, please refer to the pages on https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#data-storage-and-transfers. The subsections below give a quick overview of NFS, Lustre,and HPSS storage spaces as well as the on node NVMe ""Burst Buffers"" (SSDs).",4.323623490652494
"What is the file system on Frontier? 
","Frontier is connected to Orion, a parallel filesystem based on Lustre and HPE ClusterStor, with a 679 PB usable namespace (/lustre/orion/). In addition to Frontier, Orion is available on the OLCF's data transfer nodes. It is not available from Summit. Data will not be automatically transferred from Alpine to Orion. Frontier also has access to the center-wide NFS-based filesystem (which provides user and project home areas). Each compute node has two 1.92TB Non-Volatile Memory storage devices. See https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-data-storage for more",4.308937908112104
"What is the file system on Frontier? 
","Frontier connects to the center’s High Performance Storage System (HPSS) - for user and project archival storage - users can log in to the https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#dtn-user-guide to move data to/from HPSS.

Frontier is running Cray OS 2.4 based on SUSE Linux Enterprise Server (SLES) version 15.4.",4.263050998347607
"Can you recommend any tutorials to learn deep learning on Frontier? 
","| (slides | recording) https://www.olcf.ornl.gov/wp-content/uploads/Joo-FrontierTipsAndTricks.pdf https://vimeo.com/803633277 | | 2023-02-17 | GPU Debugging | Mark Stock, HPC Applications Engineer, HPE | Frontier Training Workshop https://www.olcf.ornl.gov/calendar/frontier-training-workshop-february-2023/ | (slides | recording) https://www.olcf.ornl.gov/wp-content/uploads/2-17-23_GPU_Debugging_distribute-2.pdf https://vimeo.com/840552596 | | 2023-02-17 | GPU Profiling | Alessandro Fanfarillo, Senior Member of Technical Staff, Exascale Application Performance, AMD | Frontier Training Workshop",4.077380595858767
"Can you recommend any tutorials to learn deep learning on Frontier? 
","Scientist, ORNL | Frontier Training Workshop https://www.olcf.ornl.gov/calendar/frontier-training-workshop-february-2023/ | (slides | recording) https://www.olcf.ornl.gov/wp-content/uploads/2-15-23_Frontier_Programming_Environment.pdf https://vimeo.com/803620593 | | 2023-02-15 | Epyc CPU and Instinct GPU | Nick Malaya, Principal Member of Technical Staff, Exascale Application Performance, AMD | Frontier Training Workshop https://www.olcf.ornl.gov/calendar/frontier-training-workshop-february-2023/ | (slides | recording)",4.075475321854087
"Can you recommend any tutorials to learn deep learning on Frontier? 
","| Blender on Frontier | Michael Sandoval (OLCF) | Blender on Frontier https://www.olcf.ornl.gov/calendar/userconcall-june2023/ | (slides | recording) https://www.olcf.ornl.gov/wp-content/uploads/Blender_on_Frontier_published.pdf https://vimeo.com/840891737 | | 2023-06-15 | AI Training Series: AI for Science at Scale - Introduction | Sajal Dash, Junqi Yin, Wes Brewer (OLCF) | AI for Science at Scale - Introduction https://www.olcf.ornl.gov/calendar/ai-for-science-at-scale-intro/ | (slides | recording | tutorial site)",4.075158123482021
"If I used the OLCF resources for my paper, who should I acknowledge? 
","Publications using resources provided by the OLCF are requested to include the following acknowledgment statement: “This research used resources of the Oak Ridge Leadership Computing Facility, which is a DOE Office of Science User Facility supported under Contract DE-AC05-00OR22725.”",4.364077849625872
"If I used the OLCF resources for my paper, who should I acknowledge? 
","Users should acknowledge the OLCF in all publications and presentations that speak to work performed on OLCF resources:

This research used resources of the Oak Ridge Leadership Computing Facility at the Oak Ridge National Laboratory, which is supported by the Office of Science of the U.S. Department of Energy under Contract No. DE-AC05-00OR22725.

Many OLCF projects make use of optional subprojects. Subprojects provide a useful means for

dividing allocations among different applications, groups, or individuals

controlling priority

monitoring progress",4.331790095198622
"If I used the OLCF resources for my paper, who should I acknowledge? 
","Users should acknowledge the OLCF in all publications and presentations that speak to work performed on OLCF resources:

This research used resources of the Oak Ridge Leadership Computing Facility at the Oak Ridge National Laboratory, which is supported by the Office of Science of the U.S. Department of Energy under Contract No. DE-AC05-00OR22725.



To request software installation, please contact help@olcf.ornl.gov with a description of the software, including the following details:

Software name.

Description of the software and its purpose. Is it export controlled?",4.329708296074323
"what is the mixed precision capability of Frontier? 
","The Frontier system, equipped with CDNA2-based architecture MI250X cards, offers a coherent host interface that enables advanced memory and unique cache coherency capabilities. The AMD driver leverages the Heterogeneous Memory Management (HMM) support in the Linux kernel to perform seamless page migrations to/from CPU/GPUs. This new capability comes with a memory model that needs to be understood completely to avoid unexpected behavior in real applications. For more details, please visit the previous section.",4.235199520733404
"what is the mixed precision capability of Frontier? 
","Each Frontier compute node contains 4 AMD MI250X. The AMD MI250X has a peak performance of 53 TFLOPS in double-precision for modeling and simulation. Each MI250X contains 2 GPUs, where each GPU has a peak performance of 26.5 TFLOPS (double-precision), 110 compute units, and 64 GB of high-bandwidth memory (HBM2) which can be accessed at a peak of 1.6 TB/s. The 2 GPUs on an MI250X are connected with Infinity Fabric with a bandwidth of 200 GB/s (in each direction simultaneously).

To connect to Frontier, ssh to frontier.olcf.ornl.gov. For example:

$ ssh <username>@frontier.olcf.ornl.gov",4.19854282052584
"what is the mixed precision capability of Frontier? 
",Programming Environment  Frontier utilizes the Cray Programming Environment.  Many aspects including LMOD are similar to Summit's environment.  But Cray's compiler wrappers and the Cray and AMD compilers are worth noting.  See the https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-compilers section for more information.  AMD GPUs  Each frontier node has 4 AMD MI250X accelerators with two Graphic Compute Dies (GCDs) in each accelerator. The system identifies each GCD as an independent device (so for simplicity we use the term GPU when we talk about a GCD) for a total of 8,4.19384768223504
"How can I port my code in CUDA to HIP on Frontier? 
",work to learn HIP. See here for a series of tutorials on programming with HIP and also converting existing CUDA code to HIP with the hipify tools .,4.394925509378363
"How can I port my code in CUDA to HIP on Frontier? 
","As mentioned above, HIP can be used on systems running on either the ROCm or CUDA platform, so OLCF users can start preparing their applications for Frontier today on Summit. To use HIP on Summit, you must load the HIP module:

$ module load hip-cuda

CUDA 11.4.0 or later must be loaded in order to load the hip-cuda module. hipBLAS, hipFFT, hipSOLVER, hipSPARSE, and hipRAND have also been added to hip-cuda.",4.394772936374441
"How can I port my code in CUDA to HIP on Frontier? 
","The HIP API is very similar to CUDA, so if you are already familiar with using CUDA, the transition to using HIP should be fairly straightforward. Whether you are already familiar with CUDA or not, the best place to start learning about HIP is this Introduction to HIP webinar that was recently given by AMD:

Introduction to AMD GPU Programming with HIP: (slides | recording)

More useful resources, provided by AMD, can be found here:

HIP Programming Guide

HIP API Documentation

HIP Porting Guide

The OLCF is currently adding some simple HIP tutorials here as well:",4.305356902566503
"What is the difference between Summit node and Frontier node?
","On Frontier, there are two major types of nodes you will encounter: Login and Compute. While these are similar in terms of hardware (see: https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-nodes), they differ considerably in their intended use.",4.398445335795858
"What is the difference between Summit node and Frontier node?
","On Summit, there are three major types of nodes you will encounter: Login, Launch, and Compute. While all of these are similar in terms of hardware (see: https://docs.olcf.ornl.gov/systems/summit_user_guide.html#summit-nodes), they differ considerably in their intended use.",4.34877088482969
"What is the difference between Summit node and Frontier node?
","The login nodes listed above mirrors the Summit and Frontier login nodes in hardware and software.  The login node also provides access to the same compute resources as are accessible from Summit and Frontier's non-SPI workflows.

The Citadel login nodes cannot access the external network and are only accessible from whitelisted IP addresses.",4.337596955891146
"Where can I find information on compiling for AMD GPUs on Frontier?
","See the https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-compilers section for information on compiling for AMD GPUs, and see the https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#tips-and-tricks section for some detailed information to keep in mind to run more efficiently on AMD GPUs.

Frontier users are provided with many pre-installed software packages and scientific libraries. To facilitate this, environment management tools are used to handle necessary changes to the shell.",4.559565415504277
"Where can I find information on compiling for AMD GPUs on Frontier?
","Cray, AMD, and GCC compilers are provided through modules on Frontier. The Cray and AMD compilers are both based on LLVM/Clang. There is also a system/OS versions of GCC available in /usr/bin. The table below lists details about each of the module-provided compilers. Please see the following https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-compilers section for more detailed inforation on how to compile using these modules.",4.344634964477707
"Where can I find information on compiling for AMD GPUs on Frontier?
",Programming Environment  Frontier utilizes the Cray Programming Environment.  Many aspects including LMOD are similar to Summit's environment.  But Cray's compiler wrappers and the Cray and AMD compilers are worth noting.  See the https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#frontier-compilers section for more information.  AMD GPUs  Each frontier node has 4 AMD MI250X accelerators with two Graphic Compute Dies (GCDs) in each accelerator. The system identifies each GCD as an independent device (so for simplicity we use the term GPU when we talk about a GCD) for a total of 8,4.302117552603172
"What types of upstream applications can I install with Helm?
","It is also possible to write your own charts for helm, if you have an application that can be deployed to many namespaces or that could benefit from templating objects. How to write charts is outside the scope of this documentation, but the upstream docs are a great place to start.",4.395852869256595
"What types of upstream applications can I install with Helm?
","Helm is the OLCF preferred package manager for Kubernetes. There are a variety of upstream applications that can be installed with helm, such as databases, web frontends, and monitoring tools. Helm has ""packages"" called ""charts"", which can essentially be thought of as kubernetes object templates. You can pass in values which helm uses to fill in these templates, and create the objects (pods, deployments, services, etc)

Follow https://docs.olcf.ornl.gov/systems/helm_example.html#helm_prerequisite for installing Helm.",4.39331864658504
"What types of upstream applications can I install with Helm?
","The following items need to be established before deploying applications on Slate systems (Marble or Onyx OpenShift clusters).

Follow https://docs.olcf.ornl.gov/systems/helm_prerequisite.html#slate_getting_started if you do not already have a project/namespace established on Onyx or Marble.

It is recommended to use Helm version 3.

Helm enables application deployment via Helm Charts. The high level Helm Architecture docs are also a great reference for understanding Helm.

Like oc, Helm is a single binary executable.

This can be installed on macOS with Homebrew :

$ brew install helm",4.214034864686354
"What is the default username for VisIt on Andes?
","The first time you launch VisIt (after installing), you will be prompted for a remote host preference. Unfortunately, ORNL does not maintain that list often, so the ORNL entry may be outdated. Click the “None” option instead. Restart VisIt, and go to Options→Host Profiles. Select “New Host”

Andes

**For Andes:**",4.207511604921063
"What is the default username for VisIt on Andes?
","Click ""Apply""

At the top menu click on ""Options""→""Save Settings""



Once you have VisIt installed and set up on your local computer:

Open VisIt on your local computer.

Go to: ""File→Open file"" or click the ""Open"" button on the GUI.

Click the ""Host"" dropdown menu on the ""File open"" window that popped up and choose ""ORNL_Andes"".

This will prompt you for your OLCF password, and connect you to Andes.

Navigate to the appropriate file.",4.206146719242565
"What is the default username for VisIt on Andes?
","Navigate to the appropriate file.

Once you choose a file, you will be prompted for the number of nodes and processors you would like to use (remember that each node of Andes contains 32 processors, or 28 if using the high-memory GPU partition) and the Project ID, which VisIt calls a ""Bank"" as shown below.



Once specified, the server side of VisIt will be launched, and you can interact with your data.",4.203540510212301
"What is the name of the command used to switch to a Project in the Slate tutorial?
","This tutorial is a continuation of the https://docs.olcf.ornl.gov/systems/guided_tutorial_cli.html#slate_guided_tutorial and you should start there.

You will be creating a single Pod in this tutorial which is not sufficient for a production service

Before using the CLI it would be wise to read our https://docs.olcf.ornl.gov/systems/guided_tutorial_cli.html#Getting Started on the CLI<slate_getting_started_oc> doc.",4.115426535346497
"What is the name of the command used to switch to a Project in the Slate tutorial?
","For this example to work, it is required to have a project ""automation user"" setup for the NCCS filesystem integration. Please contact User Assistance by submitting a help ticket if you are unsure about the automation user setup for your project.

This is not meant to be a production deployment, but a way for users to gain familiarity with building an application targeting Slate.",4.084280770676072
"What is the name of the command used to switch to a Project in the Slate tutorial?
","switch projects dropdown menu

The left navigation menu also includes a number of expandable items, each with links to project-centric pages for the current project context.",4.0834042053001465
"How do I compile HIP + OpenMP CPU threading hybrid codes?
","This section describes how to compile HIP + OpenMP CPU threading hybrid codes. For all compiler toolchains, HIP kernels and kernel launch calls (ie hipLaunchKernelGGL) cannot be implemented in the same file that requires -fopenmp. HIP API calls (hipMalloc, hipMemcpy) are allowed in files that require -fopenmp. HIP source files should be compiled into object files using the instructions in the HIP section, with the -c flag added to generate an object file. OpenMP and other non-HIP source files should be compiled into object files using the instructions in the OpenMP section. Then these object",4.540230644068981
"How do I compile HIP + OpenMP CPU threading hybrid codes?
","Information about compiling code for different XNACK modes (which control page migration between GPU and CPU memory) can be found in the https://docs.olcf.ornl.gov/systems/frontier_user_guide.html#compiling-hip-kernels-for-xnack-modes section.

This section shows how to compile HIP + OpenMP CPU threading hybrid codes.

Make sure the craype-accel-amd-gfx90a module is loaded when compiling HIP with the Cray compiler wrappers.

| Vendor | Compiler | Compile/Link Flags, Header Files, and Libraries | | --- | --- | --- | | AMD/Cray | CC |  | | hipcc |  | | GNU | CC |  |",4.430766568916081
"How do I compile HIP + OpenMP CPU threading hybrid codes?
","| Vendor | Module | Language | Compiler | OpenMP flag (GPU) | | --- | --- | --- | --- | --- | | Cray | cce | C C++ |  | -fopenmp | | Fortran | ftn (wraps crayftn) |  | | AMD | rocm |  |  | -fopenmp |

If invoking amdclang, amdclang++, or amdflang directly, or using hipcc you will need to add: -fopenmp -target x86_64-pc-linux-gnu -fopenmp-targets=amdgcn-amd-amdhsa -Xopenmp-target=amdgcn-amd-amdhsa -march=gfx90a.

This section shows how to compile HIP codes using the Cray compiler wrappers and hipcc compiler driver.",4.373387984917101
"Is HTTPS required for routes in Slate?
","In OpenShift, a Route exposes https://docs.olcf.ornl.gov/systems/route.html#slate_services with a host name, such as https://my-project.apps.<cluster>.ccs.ornl.gov.

A Service can be exposed with routes over HTTP (insecure), HTTPS (secure), and TLS with SNI (also secure).

Routes are best used when you have created a service which communicates over HTTP or HTTPS, and you want this service to be accessible from outside the cluster with a FQDN.

If your application doesn't communicate over HTTP or HTTPS, you should use https://docs.olcf.ornl.gov/systems/route.html#slate_nodeports instead.",4.362318979202772
"Is HTTPS required for routes in Slate?
","While some strategies leverage features of Deployments, others leverage features of routes. If you haven't read the docs on https://docs.olcf.ornl.gov/systems/deployment.html#slate_services or https://docs.olcf.ornl.gov/systems/deployment.html#slate_routes, read those first before trying these more advanced strategies.

Since routes are intended for HTTP and HTTPS traffic, these strategies are best used for web applications.",4.272915275104804
"Is HTTPS required for routes in Slate?
","By default, a route will only expose your https://docs.olcf.ornl.gov/systems/route.html#slate_services to NCCS networks. If you need your service exposed to the world outside ORNL, you will first need to get your project approved for external routes. To do this, submit a systems ticket. In the description, give us your project name and a brief reasoning for why exposing externally is needed.

We will let you know once your project is able to set up external routes.",4.198993486052277
"What is the name of the route that can be used to access the ArgoCD server?
","This enables access to the ArgoCD instance once deployed via the web browser more easily. In the above images, notice that the instance name is argocd. By default, the route name to the web UI will be <<instanceName>>-server-<<projectName>>.apps.<<clusterName>>.ccs.ornl.gov. If a different host name is desired to access the instance, enter the desired name in the Host parameter while maintaining the pattern new-name.apps.<cluster>.ccs.ornl.gov. For example,

Image of the form view with a custom host name set.",4.426562442411822
"What is the name of the route that can be used to access the ArgoCD server?
","Next Click the ""Create ArgoCD"" button. You will be presented with a form view similar to:

Image of the form view for ArgoCD instance creation.

Starting with the form view of the process, make the following changes allowing for access to the ArgoCD web UI via a route:

Server -> Insecure -> true

Server -> Route -> Enabled -> true

Server -> Route -> Tls -> Termination -> edge

Image of the form view for ArgoCD instance creation with the route settings configured.",4.400520632261223
"What is the name of the route that can be used to access the ArgoCD server?
","NAME                                     HOST/PORT                                PATH   SERVICES        PORT   TERMINATION   WILDCARD
route.route.openshift.io/argocd-server   argocd-stf042.apps.marble.ccs.ornl.gov          argocd-server   http   edge          None

When one navigates to the route in a web browser, the ArgoCD login screen will be presented:

Image  of the ArgoCD login screen.

For ArgoCD authentication, the default user is admin with the password stored in the <<instanceName>>-cluster secret in the project. Following login, the instance is ready for configuration:",4.379173849258928
"What happens if my software is classified under the wrong ECCN?
","Export Control Classification Number (ECCN)
  US Department of Commerce Export Control Classification Number. If an
  application software package is export controlled, list the applicable ECCN.
  This is requested for all software that is `https://docs.olcf.ornl.gov/systems/glossary.html#Not Open
  Source<glossary-closed-source>`. If the code is subject to a different
  export control jurisdiction (e.g. Department of State ITAR, Nuclear
  Regulatory Commission Controls) please indicate an appropriate
  categorization.",4.318453988652369
"What happens if my software is classified under the wrong ECCN?
","Closed Source Software / Not Open Source Software
  Software with source code which is not publicly available for general
  distribution. For this type of software, the `https://docs.olcf.ornl.gov/systems/glossary.html#Export Control
  Classification Number<glossary-eccn-number>` (ECCN) is requested. If the
  code is subject to a different export control jurisdiction (e.g. Department
  of State, ITAR) please indicate an appropriate categorization.",4.205302541083107
"What happens if my software is classified under the wrong ECCN?
","these prohibited data types or information that falls under Export Control. For questions, contact help@nccs.gov.",4.054355040412853
"What are some examples of data science tasks that can benefit from using CuPy?
","As noted in AMD+CuPy limitations, data sizes explored here hang. So, this section currently does not apply to Frontier.

Now that you know how to use CuPy, time to see the actual benefits that CuPy provides for large datasets. More specifically, let's see how much faster CuPy can be than NumPy on Summit. You won't need to fix any errors; this is mainly a demonstration on what CuPy is capable of.

There are a few things to consider when running on GPUs, which also apply to using CuPy:

Higher precision means higher cost (time and space)

The structuring of your data is important",4.35083447156266
"What are some examples of data science tasks that can benefit from using CuPy?
","CuPy is a library that implements NumPy arrays on NVIDIA GPUs by utilizing CUDA Toolkit libraries like cuBLAS, cuRAND, cuSOLVER, cuSPARSE, cuFFT, cuDNN and NCCL. Although optimized NumPy is a significant step up from Python in terms of speed, performance is still limited by the CPU (especially at larger data sizes) -- this is where CuPy comes in. Because CuPy's interface is nearly a mirror of NumPy, it acts as a replacement to run existing NumPy/SciPy code on NVIDIA CUDA platforms, which helps speed up calculations further. CuPy supports most of the array operations that NumPy provides,",4.316007523235811
"What are some examples of data science tasks that can benefit from using CuPy?
","datasets, but represents what CuPy is capable of at this scale.",4.289540369981063
"How can I include the phase called phase 1 in the instrumentation of my application?
","export TAU_OPTIONS=“-optTauSelectFile=phase.tau”

Now when you instrument your application, the phase called phase 1 are the lines 300-327 of the file miniWeather_mpi.cpp. Every call will be instrumented. This could create signiificant overhead, thus you should be careful when you use it.

Create a file called phases.tau.

BEGIN_INSTRUMENT_SECTION
static phase name=""phase1"" file=""miniWeather_mpi.cpp"" line=300 to line=327
static phase name=""phase2"" file=""miniWeather_mpi.cpp"" line=333 to line=346
END_INSTRUMENT_SECTION

Declare the TAU_OPTIONS variable.",4.12461793813426
"How can I include the phase called phase 1 in the instrumentation of my application?
","To instrument your code, you need to compile the code using the Score-P instrumentation command (scorep), which is added as a prefix to your compile statement. In most cases the Score-P instrumentor is able to automatically detect the programming paradigm from the set of compile and link options given to the compiler. Some cases will, however, require some additional link options within the compile statement e.g. CUDA instrumentation.

Below are some basic examples of the different instrumentation scenarios:",4.079065009558722
"How can I include the phase called phase 1 in the instrumentation of my application?
","Declare the TAU_OPTIONS variable

export TAU_OPTIONS=“-optTauSelectFile=select.tau”

Now, the routine sort*(int *) is excluded from the instrumentation.

Create a file called phase.tau.

BEGIN_INSTRUMENT_SECTION
dynamic phase name=“phase1” file=“miniWeather_mpi.cpp” line=300 to line=327
END_INSTRUMENT_SECTION

Declare the TAU_OPTIONS variable.

export TAU_OPTIONS=“-optTauSelectFile=phase.tau”",3.9529893920353576
"How does RAPIDS optimize data processing performance on GPUs?
","RAPIDS is a suite of libraries to execute end-to-end data science and analytics pipelines on GPUs. RAPIDS utilizes NVIDIA CUDA primitives for low-level compute optimization through user-friendly Python interfaces. An overview of the RAPIDS libraries available at OLCF is given next.

cuDF is a Python GPU DataFrame library (built on the Apache Arrow columnar memory format) for loading, joining, aggregating, filtering, and otherwise manipulating data.",4.415510310170393
"How does RAPIDS optimize data processing performance on GPUs?
","Note the ""RAPIDS basic execution"" option is for illustrative purposes and not recommended to run RAPIDS on Summit since it underutilizes resources. If your RAPIDS code is single GPU, consider Jupyter or the concurrent job steps option.

<string>:3: (INFO/1) Duplicate explicit target name: ""simultaneous job steps"".

In cases when a set of time steps need to be processed by single-GPU RAPIDS codes and each time step fits comfortably in GPU memory, it is recommended to execute simultaneous job steps.

The following script provides a general pattern to run job steps simultaneously with RAPIDS:",4.294814421689927
"How does RAPIDS optimize data processing performance on GPUs?
","Running RAPIDS multi-gpu/multi-node workloads requires a dask-cuda cluster. Setting up a dask-cuda cluster on Summit requires two components:

dask-scheduler.

dask-cuda-workers.

Once the dask-cluster is running, the RAPIDS script should perform four main tasks. First, connect to the dask-scheduler; second, wait for all workers to start; third, do some computation, and fourth, shutdown the dask-cuda-cluster.

Reference of multi-gpu/multi-node operation with cuDF, cuML, cuGraph is available in the next links:

10 Minutes to cuDF and Dask-cuDF.

cuML's Multi-Node, Multi-GPU Algorithms.",4.235286842852507
"How can we build the new image?
","Building an image in Openshift is the act of transferring a set of input parameters into an object. That object is typically an image. Openshift contains all of the necessary components to build a Docker image or a piece of source code an image that will run in a container.

A Docker build is achieved by linking to a source repository that contains a docker image and all of the necessary Docker artifacts. A build is then triggered through the standard $ docker build command. More specific documentation on docker builds can be found here.",4.176771893488775
"How can we build the new image?
","Source to image is a tool to build docker formatted container images. This is accomplished by injecting source code into a container image and then building a new image. The new image will contain the source code ready to run, via the $ docker run command inside the newly built image.

Using the S2I model of building images, it is possible to have your source hosted on a git repository and then pulled and built by Openshift.

Click on the newly created project and then on the blue Add to Project button on the center of the page.",4.150837223272159
"How can we build the new image?
","OpenShift has an integrated container image build service that users interact with through BuildConfig objects. BuildConfig's are very powerful, builds can be triggered by git repo or image tag pushes and connected into a pipeline to do automated deployments of newly built images. While powerful, these mechanisms can be cumbersome when starting out so we will be using a BuildConfig in a slightly simpler setup.

We will create a BuildConfig that will take a Binary (Local) source which will stream the contents of our local filesystem to the builder.",4.143748416470444
"What is the difference between SCOREP_USER_REGION_TYPE_COMMON and SCOREP_USER_REGION_TYPE_FINE?
","In this case, ""my_region"" is the handle name of the region which has to be defined with SCOREP_USER_REGION_DEFINE. Additionally, ""foo"" is the string containing the region's unique name (this is the name that will show up in Vampir) and SCOREP_USER_REGION_TYPE_COMMON identifies the type of the region. Make note of the header files seen in the above example that are needed to include the Score-P macros. See the Score-P User Adapter page for more user configuration options.

Below are some examples of manually instrumented regions using phase and loop types:

#include <scorep/SCOREP_User.h>",4.259118413483829
"What is the difference between SCOREP_USER_REGION_TYPE_COMMON and SCOREP_USER_REGION_TYPE_FINE?
",".. code::

   #include <scorep/SCOREP_User.inc>

   subroutine foo
      SCOREP_USER_REGION_DEFINE(my_region)
      SCOREP_USER_REGION_BEGIN(my_region, ""foo"", SCOREP_USER_REGION_TYPE_COMMON)
      ! do something
      SCOREP_USER_REGION_END(my_region)
   end subroutine foo",4.135103050603142
"What is the difference between SCOREP_USER_REGION_TYPE_COMMON and SCOREP_USER_REGION_TYPE_FINE?
","The regions ""sum"" and ""my_calculations"" in the above examples would then be included in the profiling and tracing runs and can be analysed with Vampir. For more details, refer to the Advanced Score-P training in the https://docs.olcf.ornl.gov/systems/Scorep.html#training-archive.

Please see the provided video below to watch a brief demo of using Score-P provided by TU-Dresden and presented by Ronny Brendel.",4.033400183250119
"What are some examples of tasks performed in CI?
","Taking the GitLab CI/CD concepts documentation as a start point, Continuous Integration (CI) completes tasks necessary to test and build software resulting in a container image. Example tasks performed could be code linting, test coverage, unit testing, functional testing, code compiling or integration testing. Tasks would be triggered whenever code is pushed into a repository.",4.4130627319627
